config,test,n,median,mean,sd
orig,h264_libx264,5,36.22,36.208,0.253515285535212
orig,copy_passthrough,5,0.14,0.14200000000000002,0.004472135954999571
orig,mjpeg,5,3.53,3.524,0.06066300355241232
orig,h265_libx265,5,31.74,31.726,0.043931765272978394
tsan,h264_libx264,5,45.42,45.498,0.32553033652794916
tsan,copy_passthrough,5,0.8,0.806,0.01516575088810307
tsan,mjpeg,5,21.04,20.984,0.20659138413786757
tsan,h265_libx265,5,43.06,43.182,0.34215493566511523
tsan-dom,h264_libx264,5,45.13,45.192,0.2748999818115668
tsan-dom,copy_passthrough,5,0.81,0.806,0.005477225575051666
tsan-dom,mjpeg,5,20.46,20.59,0.23032585612562056
tsan-dom,h265_libx265,5,43.04,43.02,0.09027735042633869
tsan-dom-ea-lo-st-swmr,h264_libx264,5,45.06,45.258,0.5064780350617359
tsan-dom-ea-lo-st-swmr,copy_passthrough,5,0.8,0.796,0.02073644135332771
tsan-dom-ea-lo-st-swmr,mjpeg,5,20.3,20.44,0.23547823678633253
tsan-dom-ea-lo-st-swmr,h265_libx265,5,42.96,42.93,0.061237243569578874
tsan-dom_peeling,h264_libx264,5,45.32,45.28,0.4545877253072285
tsan-dom_peeling,copy_passthrough,5,0.79,0.798,0.013038404810405262
tsan-dom_peeling,mjpeg,5,20.56,20.646,0.28910205810405504
tsan-dom_peeling,h265_libx265,5,43.02,43.07,0.2985799725366717
tsan-dom_peeling-ea-lo-st-swmr,h264_libx264,5,45.27,45.454,0.5255758746365747
tsan-dom_peeling-ea-lo-st-swmr,copy_passthrough,5,0.81,0.81,0.021213203435596392
tsan-dom_peeling-ea-lo-st-swmr,mjpeg,5,20.48,20.512,0.19841874911409013
tsan-dom_peeling-ea-lo-st-swmr,h265_libx265,5,42.86,42.924,0.2241205033012365
tsan-dom_peeling-ea-lo-st-swmr-stmt,h264_libx264,5,45.29,45.296,0.1409964538561165
tsan-dom_peeling-ea-lo-st-swmr-stmt,copy_passthrough,5,0.51,0.508,0.008366600265340763
tsan-dom_peeling-ea-lo-st-swmr-stmt,mjpeg,5,20.84,20.908,0.16021860066796123
tsan-dom_peeling-ea-lo-st-swmr-stmt,h265_libx265,5,42.97,42.922000000000004,0.15514509338035803
tsan-ea,h264_libx264,5,45.82,45.852,0.6497461042591947
tsan-ea,copy_passthrough,5,0.81,0.8140000000000001,0.01673320053068147
tsan-ea,mjpeg,5,20.9,21.02,0.26466960535732054
tsan-ea,h265_libx265,5,43.04,43.064,0.11013627921806765
tsan-lo,h264_libx264,5,45.53,45.52,0.4362338822237453
tsan-lo,copy_passthrough,5,0.81,0.8280000000000001,0.04086563348340509
tsan-lo,mjpeg,5,20.8,21.108,0.5458662839927003
tsan-lo,h265_libx265,5,42.82,43.062,0.46224452403462907
tsan-st,h264_libx264,5,45.4,45.998,1.2653141902310272
tsan-st,copy_passthrough,5,0.81,0.8160000000000001,0.008944271909999111
tsan-st,mjpeg,5,20.86,20.996,0.3137355574365146
tsan-st,h265_libx265,5,42.99,42.992,0.21684095554115335
tsan-stmt,h264_libx264,5,45.27,45.418,0.3537230555109463
tsan-stmt,copy_passthrough,5,0.52,0.52,0.007071067811865481
tsan-stmt,mjpeg,5,21.21,21.272,0.25013996082193646
tsan-stmt,h265_libx265,5,42.98,43.053999999999995,0.21489532335534983
tsan-swmr,h264_libx264,5,45.58,45.578,0.34816662677517124
tsan-swmr,copy_passthrough,5,0.8,0.798,0.008366600265340763
tsan-swmr,mjpeg,5,20.77,20.836,0.19641792178922973
tsan-swmr,h265_libx265,5,42.85,42.964,0.2190433747000807
